term,estimate,std_error,statistic,p_value,model,rr,conf_low,conf_high,n_obs
cohort::C3:D_j,0.00495553261014208,0.00239175130843516,2.07192637155253,0.0382858057933285,lpm_pre2005,,,,75788
cohort::C4:D_j,0.00273016895033261,0.00228753146379512,1.19350006482671,0.232688531132216,lpm_pre2005,,,,75788
age_bin11+,0.000253686226321324,0.000552502980142819,0.459158113963019,0.646125894627034,lpm_pre2005,,,,75788
age_bin3-5,0.00242637160104068,0.000621164392766791,3.90616659501865,9.40972966269045e-05,lpm_pre2005,,,,75788
age_bin6-10,0.00263001938084897,0.000366935587762333,7.16752331625151,7.91742891969515e-13,lpm_pre2005,,,,75788
D_j,-0.272873594064181,0.210591650218125,-1.29574745143763,0.195062507490107,journal_cohort_fe,0.761189000355802,0.503771126322367,1.15014272154196,148867
cohort::C2:D_j,0.397659110019293,0.231787623067002,1.71561839565671,0.0862319093477091,journal_cohort_fe,1.48833658439111,0.944929808287005,2.34424374065695,148867
cohort::C3:D_j,0.166037998539826,0.219692015941218,0.755776207107372,0.449783384304722,journal_cohort_fe,1.18061796262962,0.767544859242072,1.81599649440699,148867
cohort::C4:D_j,0.0402370817873576,0.219519576060119,0.183296098277531,0.854565695660824,journal_cohort_fe,1.04105756072418,0.677042461945211,1.60078710813366,148867
age_bin11+,-0.810897601973453,0.0776488175009388,-10.4431416739044,1.57509947005425e-25,journal_cohort_fe,0.444458939899878,0.381711846226398,0.517520614594072,148867
age_bin3-5,0.409238999004232,0.0576980851855722,7.09276569036931,1.31457927622777e-12,journal_cohort_fe,1.50567153148334,1.3446728537297,1.68594670029316,148867
age_bin6-10,0.0692099589898672,0.0590590067112043,1.17187814092947,0.241245984320475,journal_cohort_fe,1.07166119043012,0.954520943536832,1.20317706473644,148867
D_j,-0.308428748488282,0.19040640044107,-1.61984443681419,0.105265697981893,pubyear_cohort_fe,0.734600291715806,0.5057942599074,1.06691125495917,128902
cohort::C2:D_j,0.392903726733373,0.210005165088524,1.87092411068914,0.0613556005636565,pubyear_cohort_fe,1.48127577520676,0.981467481898307,2.23560939377279,128902
cohort::C3:D_j,0.257226632429576,0.199170929542563,1.29148683003263,0.196534918975119,pubyear_cohort_fe,1.29333820592735,0.875335191942529,1.91095220471977,128902
cohort::C4:D_j,-0.0122567707391967,0.199346234364916,-0.0614848370637387,0.950973089828555,pubyear_cohort_fe,0.987818037527435,0.668328546623598,1.46003710329931,128902
A_j,0.0911859882189156,0.71809559538757,0.126983076911509,0.898953792780749,access_among_D1,1.09547273133472,0.268130526263118,4.47565788880129,44650
cohort::C2:A_j,-0.69276621663571,0.832231310650144,-0.832420275193103,0.405171761623182,access_among_D1,0.500190518250104,0.0978871900294526,2.55590700348053,44650
cohort::C3:A_j,0.116440107551956,0.737677192646147,0.157846967091758,0.874577388155437,access_among_D1,1.1234902198725,0.26463409253694,4.76971905640983,44650
cohort::C4:A_j,0.200363611297353,0.736798037217992,0.271938307618039,0.785669455537434,access_among_D1,1.22184695475421,0.288298020160711,5.17835668801999,44650
age_bin11+,-0.610738511369073,0.103790040499168,-5.88436528622388,3.99584445585139e-09,access_among_D1,0.542949746415346,0.443008203633933,0.665437851295601,44650
age_bin3-5,0.389835403951296,0.075767818825249,5.14513166665669,2.67333242906237e-07,access_among_D1,1.47673770868594,1.27294164635367,1.71316121717106,44650
age_bin6-10,0.0455430426007978,0.0791708447251444,0.575250179013607,0.565122110617804,access_among_D1,1.04659605186052,0.896164030452933,1.22227991589489,44650
