paper_uid_after_direct_w,exclusion_reason,ref_year,search_pub_year,kci_pub_year,kci_verified,google_scholar_indexed,google_scholar_match_status,google_scholar_year,google_scholar_citation_count,D_j_audit,recoverable_target_year,year_recovery_source
P00220829,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00220830,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00220831,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00220832,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00220833,missing_target_year,2007a,,,,0,not_indexed,,,0.0,,
P00220834,missing_target_year,2007b,,,,0,not_indexed,,,0.0,,
P00220835,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00220842,missing_target_year,2006a,,,,0,not_indexed,,,0.0,,
P00220843,missing_target_year,2006b,,,,0,not_indexed,,,0.0,,
P00220856,missing_target_year,,,,,1,matched,1992.0,2.0,1.0,1992.0,google_scholar_year
P00220858,missing_target_year,2001a,,,,1,matched,2001.0,38.0,1.0,2001.0,google_scholar_year
P00220872,missing_target_year,1993a,,,,0,not_indexed,,,0.0,,
P00220882,missing_target_year,,,,,1,matched,2007.0,1.0,1.0,2007.0,google_scholar_year
P00220883,missing_target_year,2005.3.22,,,,0,not_indexed,,,0.0,,
P00220886,missing_target_year,2004.8.12,,,,0,not_indexed,,,0.0,,
P00220894,missing_target_year,2005.10.20,2006.0,2006.0,N,0,not_indexed,,,0.0,2006.0,kci_pub_year
P00220899,missing_target_year,2006a,,,,1,matched,2002.0,,1.0,2002.0,google_scholar_year
P00061717,missing_target_year,2006b,,,,0,not_indexed,,,0.0,,
P00220902,missing_target_year,1995a,,,,0,not_indexed,,,0.0,,
P00220903,missing_target_year,1995b,,,,0,not_indexed,,,0.0,,
P00220912,missing_target_year,2006.11.23,,,,0,not_indexed,,,0.0,,
P00220927,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00220929,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00220930,missing_target_year,1988.&#65378;,,,,0,not_indexed,,,0.0,,
P00220932,missing_target_year,1993.&#65378;,,,,0,not_indexed,,,0.0,,
P00220952,missing_target_year,,,,,1,matched,2007.0,2.0,1.0,2007.0,google_scholar_year
P00222470,missing_target_year,Crisisonomy,2009.0,,,1,matched,2009.0,2.0,1.0,2009.0,search_pub_year
P00223379,missing_target_year,과학,,,,0,not_indexed,,,0.0,,
P00086928,missing_target_year,동양철학,2016.0,,,0,not_indexed,,,0.0,2016.0,search_pub_year
P00224434,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00225050,missing_target_year,동남아시아연구,2009.0,,,0,not_indexed,,,0.0,2009.0,search_pub_year
P00225206,missing_target_year,국제지역연구,,,,0,not_indexed,,,0.0,,
P00232840,missing_target_year,동향과 전망,2023.0,,,1,matched,2023.0,1.0,1.0,2023.0,search_pub_year
P00232972,missing_target_year,성이론,,,,0,not_indexed,,,0.0,,
P00232977,missing_target_year,한국여성학,2014.0,,,1,matched,2014.0,17.0,1.0,2014.0,search_pub_year
P00233206,missing_target_year,성이론,,,,0,not_indexed,,,0.0,,
P00233211,missing_target_year,성이론,,,,1,matched,2019.0,1.0,1.0,2019.0,google_scholar_year
P00233216,missing_target_year,성이론,2023.0,,,0,review,,,0.0,2023.0,search_pub_year
P00233279,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00233283,missing_target_year,월간 사회평론 길,2003.0,,,0,not_indexed,,,0.0,2003.0,search_pub_year
P00233291,missing_target_year,성이론,,,,0,not_indexed,,,0.0,,
P00233771,missing_target_year,다문화사회연구,2002.0,,,1,matched,2011.0,5.0,1.0,2002.0,search_pub_year
P00234332,missing_target_year,,,,,1,matched,2018.0,,1.0,2018.0,google_scholar_year
P00236191,missing_target_year,19791979,,,,0,not_indexed,,,0.0,,
P00236221,missing_target_year,19811981,,,,0,not_indexed,,,0.0,,
P00236251,missing_target_year,,2018.0,,,0,not_indexed,,,0.0,2018.0,search_pub_year
P00151664,missing_target_year,문화과정,2025.0,,,1,matched,2012.0,10.0,1.0,2012.0,google_scholar_year
P00236273,missing_target_year,1995.7.10,,,,0,not_indexed,,,0.0,,
P00236274,missing_target_year,,2023.0,,,1,matched,2023.0,,1.0,2023.0,search_pub_year
P00236275,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00236278,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00236279,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00220683,missing_target_year,1995a,,,,0,not_indexed,,,0.0,,
P00236281,missing_target_year,1995b,,,,0,not_indexed,,,0.0,,
P00236286,missing_target_year,2002년겨울호,,,,0,review,,,0.0,,
P00055720,missing_target_year,1999b,,,,0,not_indexed,,,0.0,,
P00236306,missing_target_year,1997a,,,,1,matched,1997.0,6.0,1.0,1997.0,google_scholar_year
P00236310,missing_target_year,19951987-1992,,,,0,not_indexed,,,0.0,,
P00092405,missing_target_year,2002a,2002.0,2002.0,N,1,matched,2002.0,20.0,1.0,2002.0,kci_pub_year
P00236316,missing_target_year,2002b,,,,0,not_indexed,,,0.0,,
P00236566,missing_target_year,,,,,1,matched,2006.0,6.0,1.0,2006.0,google_scholar_year
P00236629,missing_target_year,2001a,,,,0,not_indexed,,,0.0,,
P00236630,missing_target_year,2001b,,,,0,not_indexed,,,0.0,,
P00236631,missing_target_year,2002a,,,,0,not_indexed,,,0.0,,
P00236632,missing_target_year,2002b,,,,0,not_indexed,,,0.0,,
P00236633,missing_target_year,2003a,,,,0,not_indexed,,,0.0,,
P00236634,missing_target_year,2003b,,,,0,not_indexed,,,0.0,,
P00236635,missing_target_year,2003c,,,,0,not_indexed,,,0.0,,
P00236636,missing_target_year,2003d,,,,0,not_indexed,,,0.0,,
P00236641,missing_target_year,2001a,,,,0,review,,,0.0,,
P00236642,missing_target_year,2001c,,,,0,not_indexed,,,0.0,,
P00236647,missing_target_year,,,,,0,not_indexed,,,0.0,,
