paper_uid_after_direct_w,exclusion_reason,ref_year,search_pub_year,kci_pub_year,kci_verified,google_scholar_indexed,google_scholar_match_status,google_scholar_year,google_scholar_citation_count,D_j_audit,recoverable_target_year,year_recovery_source
P00237516,missing_target_year,,2007.0,,,1,matched,2007.0,1.0,1.0,2007.0,search_pub_year
P00237578,missing_target_year,19891989,,,,0,not_indexed,,,0.0,,
P00237582,missing_target_year,1997a,,,,0,not_indexed,,,0.0,,
P00237583,missing_target_year,1997b,,,,0,not_indexed,,,0.0,,
P00237589,missing_target_year,1988a1989,,,,0,not_indexed,,,0.0,,
P00237590,missing_target_year,1988b,,,,0,not_indexed,,,0.0,,
P00237591,missing_target_year,1991a,,,,0,not_indexed,,,0.0,,
P00237592,missing_target_year,1991b,,,,0,not_indexed,,,0.0,,
P00237687,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00237688,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00237709,missing_target_year,2001b,,,,0,not_indexed,,,0.0,,
P00237844,missing_target_year,1979a,,,,0,not_indexed,,,0.0,,
P00237845,missing_target_year,1979b,,,,0,not_indexed,,,0.0,,
P00237846,missing_target_year,1979c,,,,0,not_indexed,,,0.0,,
P00237847,missing_target_year,1979d,,,,0,not_indexed,,,0.0,,
P00237962,missing_target_year,2007a,2007.0,2007.0,N,1,matched,2007.0,9.0,1.0,2007.0,kci_pub_year
P00237963,missing_target_year,2007b,2007.0,2007.0,N,1,matched,2007.0,2.0,1.0,2007.0,kci_pub_year
P00238418,missing_target_year,2003b,,,,0,not_indexed,,,0.0,,
P00238463,missing_target_year,2003a,,,,0,not_indexed,,,0.0,,
P00026913,missing_target_year,2003b,,,,0,not_indexed,,,0.0,,
P00238470,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00062100,missing_target_year,2000a,,,,0,not_indexed,,,0.0,,
P00238512,missing_target_year,2000b,,,,0,not_indexed,,,0.0,,
P00238653,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00238760,missing_target_year,19751995,,,,0,not_indexed,,,0.0,,
P00238762,missing_target_year,1960~70년대가정주부,,,,1,matched,2007.0,12.0,1.0,2007.0,google_scholar_year
P00240850,missing_target_year,구약논단,2016.0,,,0,not_indexed,,,0.0,2016.0,search_pub_year
P00241535,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00242818,missing_target_year,,2014.0,2014.0,Y,1,matched,2014.0,1.0,1.0,2014.0,kci_pub_year
P00244157,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00245337,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00245766,missing_target_year,111,,,,0,not_indexed,,,0.0,,
P00246897,missing_target_year,경제와 사회,2016.0,,,1,matched,2020.0,60.0,1.0,2016.0,search_pub_year
P00247682,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00043801,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00248845,missing_target_year,한국해양전략연구소소식지,2010.0,,,0,not_indexed,,,0.0,2010.0,search_pub_year
P00249103,missing_target_year,2006.10.4.,,,,0,not_indexed,,,0.0,,
P00249107,missing_target_year,19211966,,,,0,not_indexed,,,0.0,,
P00249118,missing_target_year,2006.10.10,,,,0,not_indexed,,,0.0,,
P00249119,missing_target_year,2005.4.7,,,,0,not_indexed,,,0.0,,
P00249120,missing_target_year,2003.10.2,,,,0,not_indexed,,,0.0,,
P00249122,missing_target_year,1994.10.23,,,,0,not_indexed,,,0.0,,
P00249123,missing_target_year,2002.12.13,,,,0,not_indexed,,,0.0,,
P00249124,missing_target_year,2002.12.28,,,,0,not_indexed,,,0.0,,
P00249125,missing_target_year,2002.10.18,,,,0,not_indexed,,,0.0,,
P00249126,missing_target_year,2007.10.3,,,,0,not_indexed,,,0.0,,
P00249127,missing_target_year,2002.10.17,,,,0,not_indexed,,,0.0,,
P00249128,missing_target_year,2002.10.17,,,,0,not_indexed,,,0.0,,
P00249129,missing_target_year,2002.12.13,,,,0,not_indexed,,,0.0,,
P00249130,missing_target_year,2003.1.10,,,,0,not_indexed,,,0.0,,
P00249131,missing_target_year,2005.7.11,,,,0,not_indexed,,,0.0,,
P00249177,missing_target_year,,2007.0,2007.0,N,1,matched,2007.0,5.0,1.0,2007.0,kci_pub_year
P00249181,missing_target_year,한국문화인류학,2002.0,,,0,not_indexed,,,0.0,2002.0,search_pub_year
P00249302,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00249363,missing_target_year,,2008.0,2008.0,N,1,matched,2008.0,,1.0,2008.0,kci_pub_year
P00249365,missing_target_year,,,,,1,matched,2008.0,5.0,1.0,2008.0,google_scholar_year
P00250274,missing_target_year,인프라,,,,0,not_indexed,,,0.0,,
P00057454,missing_target_year,노동연구,2022.0,,,1,matched,2011.0,,1.0,2022.0,search_pub_year
P00250809,missing_target_year,현대정치연구,2023.0,,,1,matched,2023.0,4.0,1.0,2023.0,search_pub_year
P00251479,missing_target_year,주거환경,2014.0,,,1,matched,2014.0,17.0,1.0,2014.0,search_pub_year
P00251836,missing_target_year,,2015.0,,,0,review,,,0.0,2015.0,search_pub_year
P00251876,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00251890,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00252297,missing_target_year,인문사회 21,2021.0,,,1,matched,2021.0,,1.0,2021.0,search_pub_year
P00252450,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00252487,missing_target_year,,2022.0,2022.0,Y,1,matched,2022.0,,1.0,2022.0,kci_pub_year
P00252492,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00252500,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00252760,missing_target_year,아시아 브리프,,,,0,not_indexed,,,0.0,,
P00254049,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00255125,missing_target_year,아시아브리프,,,,0,not_indexed,,,0.0,,
P00256190,missing_target_year,"25, 조총련 수뇌부와의 대담. “김정일의 너무나 솔직한 육성 고백전문,”",2023.0,,,0,review,,,0.0,2023.0,search_pub_year
P00256323,missing_target_year,국가전략,2020.0,,,1,matched,2020.0,4.0,1.0,2020.0,search_pub_year
P00256416,missing_target_year,국제정치연구,2021.0,,,0,review,,,0.0,2021.0,search_pub_year
P00257384,missing_target_year,일본연구논총,2016.0,,,1,matched,2016.0,1.0,1.0,2016.0,search_pub_year
P00257824,missing_target_year,중어중문학,2011.0,,,1,matched,2011.0,8.0,1.0,2011.0,search_pub_year
P00258161,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00258730,missing_target_year,사회복지정책,2022.0,,,1,matched,2011.0,7.0,1.0,2022.0,search_pub_year
P00235903,missing_target_year,2009a,,,,1,matched,2009.0,2.0,1.0,2009.0,google_scholar_year
P00260086,missing_target_year,국제문제연구,,,,0,not_indexed,,,0.0,,
P00260087,missing_target_year,지역사회연구,2013.0,,,0,not_indexed,,,0.0,2013.0,search_pub_year
P00260338,missing_target_year,2008b,,,,0,not_indexed,,,0.0,,
P00260339,missing_target_year,2008c,2008.0,2008.0,N,1,matched,2008.0,1.0,1.0,2008.0,kci_pub_year
P00260386,missing_target_year,2007b,,,,0,not_indexed,,,0.0,,
P00260601,missing_target_year,,2002.0,,,1,matched,2002.0,10.0,1.0,2002.0,search_pub_year
P00260663,missing_target_year,2007.5.,,,,0,not_indexed,,,0.0,,
P00260696,missing_target_year,“멕앨寮屢慤撚,,,,0,not_indexed,,,0.0,,
P00260862,missing_target_year,,2005.0,,,1,matched,2005.0,5.0,1.0,2005.0,search_pub_year
P00260901,missing_target_year,19841973.6.13,,,,0,not_indexed,,,0.0,,
P00260904,missing_target_year,----.19931971.10.11,,,,0,not_indexed,,,0.0,,
P00260993,missing_target_year,,,,,1,matched,2006.0,5.0,1.0,2006.0,google_scholar_year
P00137977,missing_target_year,2006a,,,,0,not_indexed,,,0.0,,
P00137978,missing_target_year,2006b,,,,0,not_indexed,,,0.0,,
P00261056,missing_target_year,2005a,,,,0,not_indexed,,,0.0,,
P00261085,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00261089,missing_target_year,,2010.0,,,1,matched,2005.0,17.0,1.0,2010.0,search_pub_year
P00261106,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00040692,missing_target_year,i..정진옮김.1974.,2006.0,,,0,not_indexed,,,0.0,2006.0,search_pub_year
P00096905,missing_target_year,j.j..김용구옮김.1972.,2010.0,,,1,matched,2002.0,1.0,1.0,2010.0,search_pub_year
P00261143,missing_target_year,1953년,,,,0,not_indexed,,,0.0,,
P00261146,missing_target_year,1948년1972년,2015.0,,,0,not_indexed,,,0.0,2015.0,search_pub_year
P00261147,missing_target_year,2004년,2024.0,,,0,not_indexed,,,0.0,2024.0,search_pub_year
P00261150,missing_target_year,2005a,2021.0,,,0,not_indexed,,,0.0,2021.0,search_pub_year
P00261190,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00261191,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00261195,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00261196,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00261501,missing_target_year,,,,,0,review,,,0.0,,
P00261516,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00261520,missing_target_year,,,,,0,review,,,0.0,,
P00261526,missing_target_year,,2009.0,,,1,matched,2003.0,15.0,1.0,2009.0,search_pub_year
P00261527,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00261559,missing_target_year,,,,,0,review,,,0.0,,
P00261569,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00261570,missing_target_year,,,,,0,review,,,0.0,,
P00261585,missing_target_year,,,,,0,review,,,0.0,,
P00261618,missing_target_year,,,,,1,matched,2004.0,5.0,1.0,2004.0,google_scholar_year
P00261621,missing_target_year,2002b,,,,0,not_indexed,,,0.0,,
P00261625,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00261633,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00261638,missing_target_year,,,,,1,matched,2004.0,3.0,1.0,2004.0,google_scholar_year
P00261645,missing_target_year,,2022.0,,,0,not_indexed,,,0.0,2022.0,search_pub_year
P00261664,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00261673,missing_target_year,,,,,0,review,,,0.0,,
P00261701,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00261706,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00261715,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00261722,missing_target_year,,,,,1,matched,2004.0,2.0,1.0,2004.0,google_scholar_year
P00261744,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00261762,missing_target_year,,,,,0,review,,,0.0,,
P00261890,missing_target_year,2006b,,,,0,not_indexed,,,0.0,,
P00084201,missing_target_year,1988a,2001.0,,,1,matched,2011.0,,1.0,2001.0,search_pub_year
P00261984,missing_target_year,2006b,,,,0,not_indexed,,,0.0,,
P00262001,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00262004,missing_target_year,2003b,,,,0,not_indexed,,,0.0,,
P00262013,missing_target_year,2006a,,,,0,not_indexed,,,0.0,,
P00202760,missing_target_year,2006b,2020.0,,,1,matched,2020.0,1.0,1.0,2020.0,search_pub_year
P00262014,missing_target_year,2006c,2007.0,,,0,review,,,0.0,2007.0,search_pub_year
P00262056,missing_target_year,1993185-219,,,,0,not_indexed,,,0.0,,
P00262074,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00262080,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00262110,missing_target_year,2006a,,,,0,not_indexed,,,0.0,,
P00262111,missing_target_year,2006b,,,,0,not_indexed,,,0.0,,
P00262112,missing_target_year,2004.6.4,2013.0,,,1,matched,2005.0,,1.0,2013.0,search_pub_year
P00262256,missing_target_year,2004a,2004.0,2004.0,N,1,matched,2004.0,7.0,1.0,2004.0,kci_pub_year
P00262257,missing_target_year,2004b,2002.0,,,0,not_indexed,,,0.0,2002.0,search_pub_year
P00262262,missing_target_year,1998b,,,,0,not_indexed,,,0.0,,
P00262310,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00227208,missing_target_year,,,,,1,matched,2000.0,,1.0,2000.0,google_scholar_year
P00262345,missing_target_year,,2006.0,2006.0,N,1,matched,2006.0,4.0,1.0,2006.0,kci_pub_year
P00262359,missing_target_year,,2013.0,,,0,not_indexed,,,0.0,2013.0,search_pub_year
P00262362,missing_target_year,1994a,,,,0,not_indexed,,,0.0,,
P00262373,missing_target_year,2005b,,,,0,not_indexed,,,0.0,,
P00262454,missing_target_year,,,,,0,review,,,0.0,,
P00262463,missing_target_year,1999a,,,,0,not_indexed,,,0.0,,
P00262464,missing_target_year,1999b,,,,0,not_indexed,,,0.0,,
P00262487,missing_target_year,2004a,,,,0,review,,,0.0,,
P00262488,missing_target_year,2004b,,,,0,not_indexed,,,0.0,,
P00262530,missing_target_year,2000a,,,,0,not_indexed,,,0.0,,
P00262539,missing_target_year,”1987,,,,0,not_indexed,,,0.0,,
P00262573,missing_target_year,1911-1949』,,,,0,not_indexed,,,0.0,,
P00262578,missing_target_year,,,,,1,matched,2004.0,1.0,1.0,2004.0,google_scholar_year
P00262590,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00262591,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00262593,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00262594,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00262596,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00262599,missing_target_year,,,,,0,review,,,0.0,,
P00262603,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00262612,missing_target_year,2002년형반미,,,,1,matched,2004.0,3.0,1.0,2004.0,google_scholar_year
P00262749,missing_target_year,2005a,,,,0,not_indexed,,,0.0,,
P00262795,missing_target_year,1990년,,,,0,not_indexed,,,0.0,,
P00262798,missing_target_year,1996년,,,,0,not_indexed,,,0.0,,
P00262799,missing_target_year,1992년,2002.0,,,0,not_indexed,,,0.0,2002.0,search_pub_year
P00262800,missing_target_year,1993년,,,,0,not_indexed,,,0.0,,
P00197632,missing_target_year,1990년,,,,0,not_indexed,,,0.0,,
P00262801,missing_target_year,2004년,,,,0,not_indexed,,,0.0,,
P00197633,missing_target_year,2001년,,,,0,not_indexed,,,0.0,,
P00036136,missing_target_year,2000년,,,,0,not_indexed,,,0.0,,
P00197634,missing_target_year,2000년,,,,0,not_indexed,,,0.0,,
P00262802,missing_target_year,2005년,,,,0,not_indexed,,,0.0,,
P00244202,missing_target_year,2005년,,,,0,not_indexed,,,0.0,,
P00262803,missing_target_year,2000년,,,,0,not_indexed,,,0.0,,
P00262804,missing_target_year,2003년,,,,0,not_indexed,,,0.0,,
P00262805,missing_target_year,2005년,,,,0,not_indexed,,,0.0,,
P00262806,missing_target_year,2002년,,,,0,not_indexed,,,0.0,,
P00262808,missing_target_year,1990년3월,,,,0,not_indexed,,,0.0,,
P00262933,missing_target_year,,,,,0,review,,,0.0,,
P00037965,missing_target_year,,2010.0,,,1,matched,2013.0,26.0,1.0,2010.0,search_pub_year
P00263001,missing_target_year,200011.27,,,,0,not_indexed,,,0.0,,
P00263084,missing_target_year,2004a,2008.0,,,0,not_indexed,,,0.0,2008.0,search_pub_year
P00263105,missing_target_year,2003b,,,,0,review,,,0.0,,
P00263112,missing_target_year,2003b,,,,0,not_indexed,,,0.0,,
P00263318,missing_target_year,STRATEGY 21,,,,0,not_indexed,,,0.0,,
P00264845,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00264987,missing_target_year,,,,,1,matched,2011.0,,1.0,2011.0,google_scholar_year
P00265160,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00265556,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00265809,missing_target_year,국제이슈해설,,,,0,not_indexed,,,0.0,,
P00266262,missing_target_year,1999년12월,,,,0,not_indexed,,,0.0,,
P00266263,missing_target_year,2004년10월12일,2005.0,2005.0,N,1,matched,2005.0,3.0,1.0,2005.0,kci_pub_year
P00266264,missing_target_year,1999년3월22일,2002.0,,,1,matched,2010.0,3.0,1.0,2002.0,search_pub_year
P00266267,missing_target_year,1999년12월,,,,0,not_indexed,,,0.0,,
P00266269,missing_target_year,1999년12월,,,,0,not_indexed,,,0.0,,
P00266273,missing_target_year,1997년,,,,0,not_indexed,,,0.0,,
P00266274,missing_target_year,2004년10월12일,,,,0,not_indexed,,,0.0,,
P00266275,missing_target_year,,2019.0,,,0,not_indexed,,,0.0,2019.0,search_pub_year
P00266276,missing_target_year,1996년6월,,,,0,not_indexed,,,0.0,,
P00266278,missing_target_year,1999년12월,,,,0,not_indexed,,,0.0,,
P00208983,missing_target_year,1999년12월,,,,0,not_indexed,,,0.0,,
P00266279,missing_target_year,1999년8월30일,,,,0,not_indexed,,,0.0,,
P00266280,missing_target_year,2004년4월7일,,,,0,not_indexed,,,0.0,,
P00266295,missing_target_year,2000년8월,,,,0,not_indexed,,,0.0,,
P00266297,missing_target_year,2004년4월3월,,,,0,not_indexed,,,0.0,,
P00266302,missing_target_year,2005년4월30일,,,,0,not_indexed,,,0.0,,
P00266303,missing_target_year,2003년2월9일,,,,0,not_indexed,,,0.0,,
P00266661,missing_target_year,2003년8월,,,,0,not_indexed,,,0.0,,
P00266921,missing_target_year,2004년8월11일,,,,0,not_indexed,,,0.0,,
P00266923,missing_target_year,2004년7월29일,,,,0,not_indexed,,,0.0,,
P00266938,missing_target_year,2003년11월29일,,,,0,not_indexed,,,0.0,,
