paper_uid_after_direct_w,cohort,target_year,target_topic,partial,eng_cite_count,Y_jc,obs_start,obs_end,age_jc,age_bin,N_topic_jc,ln_offset
P00026542,C1,2009.0,6,1,0,0,2009.0,2009,0.0,0-2,0,0.0
P00026542,C2,2009.0,6,0,0,0,2010.0,2014,3.0,3-5,0,0.0
P00026542,C3,2009.0,6,0,0,0,2015.0,2019,8.0,6-10,2,1.0986122886681098
P00026542,C4,2009.0,6,0,0,0,2020.0,2024,13.0,11+,1,0.6931471805599453
P00026545,C1,2008.0,3,1,0,0,2008.0,2009,0.5,0-2,1,0.6931471805599453
P00026545,C2,2008.0,3,0,0,0,2010.0,2014,4.0,3-5,5,1.791759469228055
P00026545,C3,2008.0,3,0,0,0,2015.0,2019,9.0,6-10,6,1.9459101490553132
P00026545,C4,2008.0,3,0,0,0,2020.0,2024,14.0,11+,10,2.3978952727983707
P00026546,C1,2008.0,3,1,0,0,2008.0,2009,0.5,0-2,1,0.6931471805599453
P00026546,C2,2008.0,3,0,0,0,2010.0,2014,4.0,3-5,5,1.791759469228055
P00026546,C3,2008.0,3,0,0,0,2015.0,2019,9.0,6-10,6,1.9459101490553132
P00026546,C4,2008.0,3,0,0,0,2020.0,2024,14.0,11+,10,2.3978952727983707
P00026556,C1,1992.0,6,1,0,0,1992.0,2009,8.5,6-10,0,0.0
P00026556,C2,1992.0,6,0,0,0,2010.0,2014,20.0,11+,0,0.0
P00026556,C3,1992.0,6,0,0,0,2015.0,2019,25.0,11+,2,1.0986122886681098
P00026556,C4,1992.0,6,0,0,0,2020.0,2024,30.0,11+,1,0.6931471805599453
P00026557,C1,1993.0,13,1,0,0,1993.0,2009,8.0,6-10,1,0.6931471805599453
P00026557,C2,1993.0,13,0,0,0,2010.0,2014,19.0,11+,1,0.6931471805599453
P00026557,C3,1993.0,13,0,0,0,2015.0,2019,24.0,11+,2,1.0986122886681098
P00026557,C4,1993.0,13,0,0,0,2020.0,2024,29.0,11+,8,2.1972245773362196
P00026558,C1,1991.0,13,1,0,0,1991.0,2009,9.0,6-10,1,0.6931471805599453
P00026558,C2,1991.0,13,0,0,0,2010.0,2014,21.0,11+,1,0.6931471805599453
P00026558,C3,1991.0,13,0,0,0,2015.0,2019,26.0,11+,2,1.0986122886681098
P00026558,C4,1991.0,13,0,0,0,2020.0,2024,31.0,11+,8,2.1972245773362196
P00026559,C1,2007.0,27,1,0,0,2007.0,2009,1.0,0-2,1,0.6931471805599453
P00026559,C2,2007.0,27,0,0,0,2010.0,2014,5.0,3-5,1,0.6931471805599453
P00026559,C3,2007.0,27,0,0,0,2015.0,2019,10.0,6-10,3,1.3862943611198906
P00026559,C4,2007.0,27,0,0,0,2020.0,2024,15.0,11+,2,1.0986122886681098
P00026560,C1,2004.0,13,1,0,0,2004.0,2009,2.5,3-5,1,0.6931471805599453
P00026560,C2,2004.0,13,0,0,0,2010.0,2014,8.0,6-10,1,0.6931471805599453
P00026560,C3,2004.0,13,0,0,0,2015.0,2019,13.0,11+,2,1.0986122886681098
P00026560,C4,2004.0,13,0,0,0,2020.0,2024,18.0,11+,8,2.1972245773362196
P00026561,C1,2004.0,13,1,0,0,2004.0,2009,2.5,3-5,1,0.6931471805599453
P00026561,C2,2004.0,13,0,0,0,2010.0,2014,8.0,6-10,1,0.6931471805599453
P00026561,C3,2004.0,13,0,0,0,2015.0,2019,13.0,11+,2,1.0986122886681098
P00026561,C4,2004.0,13,0,0,0,2020.0,2024,18.0,11+,8,2.1972245773362196
P00026562,C1,1995.0,-1,1,0,0,1995.0,2009,7.0,6-10,7,2.0794415416798357
P00026562,C2,1995.0,-1,0,0,0,2010.0,2014,17.0,11+,57,4.060443010546419
P00026562,C3,1995.0,-1,0,0,0,2015.0,2019,22.0,11+,66,4.204692619390966
P00026562,C4,1995.0,-1,0,0,0,2020.0,2024,27.0,11+,79,4.382026634673881
P00026563,C1,2000.0,14,1,0,0,2000.0,2009,4.5,3-5,0,0.0
P00026563,C2,2000.0,14,0,0,0,2010.0,2014,12.0,11+,3,1.3862943611198906
P00026563,C3,2000.0,14,0,0,0,2015.0,2019,17.0,11+,4,1.6094379124341003
P00026563,C4,2000.0,14,0,0,0,2020.0,2024,22.0,11+,4,1.6094379124341003
P00026570,C1,2006.0,11,1,0,0,2006.0,2009,1.5,0-2,1,0.6931471805599453
P00026570,C2,2006.0,11,0,0,0,2010.0,2014,6.0,6-10,4,1.6094379124341003
P00026570,C3,2006.0,11,0,0,0,2015.0,2019,11.0,11+,9,2.302585092994046
P00026570,C4,2006.0,11,0,0,0,2020.0,2024,16.0,11+,5,1.791759469228055
P00026571,C1,2000.0,-1,1,0,0,2000.0,2009,4.5,3-5,7,2.0794415416798357
P00026571,C2,2000.0,-1,0,0,0,2010.0,2014,12.0,11+,57,4.060443010546419
P00026571,C3,2000.0,-1,0,0,0,2015.0,2019,17.0,11+,66,4.204692619390966
P00026571,C4,2000.0,-1,0,0,0,2020.0,2024,22.0,11+,79,4.382026634673881
P00026574,C1,2009.0,11,1,0,0,2009.0,2009,0.0,0-2,1,0.6931471805599453
P00026574,C2,2009.0,11,0,0,0,2010.0,2014,3.0,3-5,4,1.6094379124341003
P00026574,C3,2009.0,11,0,0,0,2015.0,2019,8.0,6-10,9,2.302585092994046
P00026574,C4,2009.0,11,0,0,0,2020.0,2024,13.0,11+,5,1.791759469228055
P00026590,C1,1990.0,-1,1,0,0,1990.0,2009,9.5,6-10,7,2.0794415416798357
P00026590,C2,1990.0,-1,0,0,0,2010.0,2014,22.0,11+,57,4.060443010546419
P00026590,C3,1990.0,-1,0,0,0,2015.0,2019,27.0,11+,66,4.204692619390966
P00026590,C4,1990.0,-1,0,0,0,2020.0,2024,32.0,11+,79,4.382026634673881
P00026591,C1,1999.0,13,1,0,0,1999.0,2009,5.0,3-5,1,0.6931471805599453
P00026591,C2,1999.0,13,0,0,0,2010.0,2014,13.0,11+,1,0.6931471805599453
P00026591,C3,1999.0,13,0,0,0,2015.0,2019,18.0,11+,2,1.0986122886681098
P00026591,C4,1999.0,13,0,0,0,2020.0,2024,23.0,11+,8,2.1972245773362196
P00026592,C1,1991.0,13,1,0,0,1991.0,2009,9.0,6-10,1,0.6931471805599453
P00026592,C2,1991.0,13,0,0,0,2010.0,2014,21.0,11+,1,0.6931471805599453
P00026592,C3,1991.0,13,0,0,0,2015.0,2019,26.0,11+,2,1.0986122886681098
P00026592,C4,1991.0,13,0,0,0,2020.0,2024,31.0,11+,8,2.1972245773362196
P00026593,C1,1989.0,13,1,0,0,1989.0,2009,10.0,6-10,1,0.6931471805599453
P00026593,C2,1989.0,13,0,0,0,2010.0,2014,23.0,11+,1,0.6931471805599453
P00026593,C3,1989.0,13,0,0,0,2015.0,2019,28.0,11+,2,1.0986122886681098
P00026593,C4,1989.0,13,0,0,0,2020.0,2024,33.0,11+,8,2.1972245773362196
P00026594,C1,1999.0,-1,1,0,0,1999.0,2009,5.0,3-5,7,2.0794415416798357
P00026594,C2,1999.0,-1,0,0,0,2010.0,2014,13.0,11+,57,4.060443010546419
P00026594,C3,1999.0,-1,0,0,0,2015.0,2019,18.0,11+,66,4.204692619390966
P00026594,C4,1999.0,-1,0,0,0,2020.0,2024,23.0,11+,79,4.382026634673881
P00026597,C1,1999.0,1,1,0,0,1999.0,2009,5.0,3-5,2,1.0986122886681098
P00026597,C2,1999.0,1,0,0,0,2010.0,2014,13.0,11+,3,1.3862943611198906
P00026597,C3,1999.0,1,0,0,0,2015.0,2019,18.0,11+,4,1.6094379124341003
P00026597,C4,1999.0,1,0,0,0,2020.0,2024,23.0,11+,9,2.302585092994046
P00026599,C1,1998.0,13,1,0,0,1998.0,2009,5.5,6-10,1,0.6931471805599453
P00026599,C2,1998.0,13,0,0,0,2010.0,2014,14.0,11+,1,0.6931471805599453
P00026599,C3,1998.0,13,0,0,0,2015.0,2019,19.0,11+,2,1.0986122886681098
P00026599,C4,1998.0,13,0,0,0,2020.0,2024,24.0,11+,8,2.1972245773362196
P00026600,C1,1996.0,13,1,0,0,1996.0,2009,6.5,6-10,1,0.6931471805599453
P00026600,C2,1996.0,13,0,0,0,2010.0,2014,16.0,11+,1,0.6931471805599453
P00026600,C3,1996.0,13,0,0,0,2015.0,2019,21.0,11+,2,1.0986122886681098
