paper_uid_after_direct_w,ref_title,ref_author,ref_publisher_or_journal,ref_year,direct_article_id,direct_id_sources,direct_id_values,direct_id_conflict,query_signature
P00000054,외국인고용법에 대한 비판적 검토 ― 규제와 보호를 중심으로 ―,조성혜,서울법학,2019,,,,False,외국인고용법에대한비판적검토규제와보호를중심으로||조성혜||서울법학||2019
P00044420,북한연구에서 인식론 논쟁의 성과와 한계,김연철,현대북한연구,1998,,,,False,북한연구에서인식론논쟁의성과와한계||김연철||현대북한연구||1998
P00044421,분단의 문화현실과 통일담론의 재구성,김학성,통일정책연구,2000,,,,False,분단의문화현실과통일담론의재구성||김학성||통일정책연구||2000
P00044430,시선 끌기 위해 국론분열로 고장: 남남갈등 보도의 정치적 의미,박홍원,저널리즘비평,2001,,,,False,시선끌기위해국론분열로고장남남갈등보도의정치적의미||박홍원||저널리즘비평||2001
P00044431,북한연구에서의 ‘내재적 방법’의 재론,송두율,역사비평,1995,,,,False,북한연구에서의내재적방법의재론||송두율||역사비평||1995
P00044432,제2공화국시대의 중립화통일론과 21세기 한반도 통일,엄상윤,국제정치논총,2003,,,,False,제2공화국시대의중립화통일론과21세기한반도통일||엄상윤||국제정치논총||2003
P00044441,동서독 통일과정의 사회학적 함의: ‘사회통합’의 관점을 중심으로,전성우,경제와 사회,1995,,,,False,동서독통일과정의사회학적함의사회통합의관점을중심으로||전성우||경제와사회||1995
P00044443,한국중립화는 가능한가?: 김삼규씨의 이론을 중심으로,조순승,사상계,1960,,,,False,한국중립화는가능한가김삼규씨의이론을중심으로||조순승||사상계||1960
P00044454,탈북주민의 남한사회 적응시 겪는 어려움과 그에 따른 대처 방안,박미석,통일논총,2000,,,,False,탈북주민의남한사회적응시겪는어려움과그에따른대처방안||박미석||통일논총||2000
P00044456,남한내 북한이탈주민의 3년간 사회적응 추적 연구-2001년부터 2004년까지 생활과 교육을 중심으로,유시은,통일연구,2005,,,,False,남한내북한이탈주민의3년간사회적응추적연구2001년부터2004년까지생활과교육을중심으로||유시은||통일연구||2005
P00044458,탈북자 적응의 사회경제적 문제: 보호경찰관에 대한 설문결과를 중심으로,윤덕룡,통일연구,2000,,,,False,탈북자적응의사회경제적문제보호경찰관에대한설문결과를중심으로||윤덕룡||통일연구||2000
P00044459,탈북자의 실업과 빈부격차에 의한 갈등과 대책: 탈북자들의 경제문제에 관한 설문조사 결과를 중심으로,윤덕룡,통일연구,1997,,,,False,탈북자의실업과빈부격차에의한갈등과대책탈북자들의경제문제에관한설문조사결과를중심으로||윤덕룡||통일연구||1997
P00044460,북한이주민의 건강과 경제적응과의 관계,윤인진,보건과 사회과학,2007,,,,False,북한이주민의건강과경제적응과의관계||윤인진||보건과사회과학||2007
P00044461,소득 수준의 변화를 통해 살펴 본 한국인과 아시아 이민자들의 미국사회 동화과정 연구,이성우,지역사회문제연구,2001,,,,False,소득수준의변화를통해살펴본한국인과아시아이민자들의미국사회동화과정연구||이성우||지역사회문제연구||2001
P00044462,아시안 이민자들의 주택소유여부를 결정하는 요인에 관한 연구,이성우,주택연구,2001,,,,False,아시안이민자들의주택소유여부를결정하는요인에관한연구||이성우||주택연구||2001
P00044463,미국내 아시안 이민자들의 주거비지불능력 변화추이에 관한 연구,이성우,주택연구,2002,,,,False,미국내아시안이민자들의주거비지불능력변화추이에관한연구||이성우||주택연구||2002
P00044464,남한내 탈북자의 의식 및 생활만족도 연구,전우택,신경정신의학,2004,,,,False,남한내탈북자의의식및생활만족도연구||전우택||신경정신의학||2004
P00044465,탈북자들의 남한사회 적응생활 실태조사,전우택,통일연구,2003,,,,False,탈북자들의남한사회적응생활실태조사||전우택||통일연구||2003
P00044486,1960년대 중반 북한-중국의 갈등과 북한의 자주노선,이상숙,북한학연구,2007,,,,False,1960년대중반북한중국의갈등과북한의자주노선||이상숙||북한학연구||2007
